Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,Page URL,Download File,Perpetrator,Policy,Latitude,Longitude,Missing,,
52492,News Article,Hastings Daily Tribune,Hastings,Nebraska,17-Dec-42,2,Vow To Punish Nazis,Persecution Of Jews Arouses Allied Nations,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,alan bush,https://newspapers.ushmm.org/article/52492,https://www.newspapers.com/clip/89286499/the-hastings-daily-tribune/,y,n,40.5862573,-98.389883,[0],,
51829,News Article,Hilo Tribune Herald/Hawaii Tribune-Herald,Hilo,Hawaii,17-Dec-42,3,US Condemns Nazi Slaughter of Jewish People,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Judith Haran,https://newspapers.ushmm.org/article/51829,https://www.newspapers.com/clip/88212934/hawaii-tribune-herald/,y,n,19.7216013,-155.0849,"[4,5,6]",,
51056,News Article,The Sacramento Bee,Sacramento,California,17-Dec-42,27,"U. S., Allies Join In Condemning Slaying Jews","Statement Assails 'Bestial Policy' of Axis, Pledges Retribution",AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,https://newspapers.ushmm.org/article/51056,https://www.newspapers.com/clip/87512394/the-sacramento-bee/,n,n,38.5815709,-121.49441,[0],include,
50941,News Article,The Winona Republican and Herald/The Winona Republican-Herald/The Winona Daily News,Winona,Minnesota,17-Dec-42,14,U.S. Pledges Slaughterers of Jews Won't Escape Retribution,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Amy Minton,https://newspapers.ushmm.org/article/50941,https://www.newspapers.com/clip/87318591/allies-us-pledges-slaughterers-of-jew/,n,n,44.0553898,-91.666362,[5],,
50798,News Article,Oakland Tribune,Oakland,California,17-Dec-42,1,Allies Denounce Nazi Brutality,U.S. Joins United Nations in Pledging To Punish Guilty,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Aiden Kaplan,https://newspapers.ushmm.org/article/50798,https://newscomwc.newspapers.com/clip/87331785/oakland-tribune/,y,n,37.8043504,-122.27117,[0],include,a
49879,News Article,The Elizabethton Star,Elizabethton,Tennessee,17-Dec-42,1,U.S. Condemns Germany's Policy Of Cold-Blooded Extermination Of Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Carlotta Schaefer,https://newspapers.ushmm.org/article/49879,https://www.newspapers.com/clip/85420854/elizabethton-star/,y,y,36.3487186,-82.210698,[6],,a
48884,News Article,The Index-Journal,Greenwood,South+Carolina,17-Dec-42,1,United Nations Condemn Nazi Slaughter Of Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,https://newspapers.ushmm.org/article/48884,https://www.newspapers.com/clip/83134157/the-index-journal/,y,n,34.1953991,-82.161798,[0],,b
47896,News Article,Tucson Daily Citizen,Tucson,Arizona,17-Dec-42,11,U. S. Condemns Hitler Policy Against Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Not Approved,Katherine Vaughan,https://newspapers.ushmm.org/article/47896,https://www.newspapers.com/clip/81394323/tucson-daily-citizen/,y,y,32.2226056,-110.97472,"[5,6]",,
47584,News Article,The Daily Progress,Charlottesville,Virginia,17-Dec-42,1,Allied Nations Join in Condemning Nazi Treatment of Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,University of Virginia Virgo Library (http://search.lib.virginia.edu),Not Approved,Danielle Geist,https://newspapers.ushmm.org/article/47584,https://newspapers.ushmm.org/manager/article/photo/30148/original,y,n,38.0293049,-78.476688,"[4,5,6]",,a
47100,News Article,The Jackson Sun,Jackson,Tennessee,17-Dec-42,7,Retribution For Nazi Execution Jewish Peoples [sic],United States Joins Allied Nations In Strong Protest,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Katherine Vaughan,https://newspapers.ushmm.org/article/47100,https://www.newspapers.com/clip/77719941/the-jackson-sun/,y,n,35.6145159,-88.813957,[6],,
46120,News Article,Harrisburg Telegraph,Harrisburg,Pennsylvania,17-Dec-42,B1,Nation Joins To Protest Jew Extermination,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,alan bush,https://newspapers.ushmm.org/article/46120,https://www.newspapers.com/clip/76332688/harrisburg-telegraph/,n,n,40.2731901,-76.886711,"[4,5,6]",,
45656,News Article,The Daily Times-News,Burlington,North+Carolina,17-Dec-42,1,United States Raps Attacks Against Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Katherine Vaughan,https://newspapers.ushmm.org/article/45656,https://www.newspapers.com/clip/75513044/the-daily-times-news/,n,n,36.0959639,-79.437168,[0],,a
44293,News Article,Hope Star,Hope,Arkansas,17-Dec-42,3,U. S. Condemns Treatment of Jews by Nazis,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Not Approved,Patricia Pawelak-Kort,https://newspapers.ushmm.org/article/44293,f,y,n,33.6684662,-93.597148,"[5,6]",,
43920,News Article,The Gallup Independent/The Gallup Independent and Evening Herald,Gallup,New+Mexico,17-Dec-42,4,Nations Join Condemnation Of Jew Deaths,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,https://newspapers.ushmm.org/article/43920,https://www.newspapers.com/clip/68778602/,n,n,35.5280773,-108.74259,"[4,5,6]",,
43152,News Article,The Rapid City Daily Journal/The Rapid City Journal,Rapid+City,South+Dakota,17-Dec-42,1,Condemn Nazi Murder Of Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,https://newspapers.ushmm.org/article/43152,https://www.newspapers.com/clip/66925871/,y,n,44.0805424,-103.23102,[5],,b
43090,News Article,Lead Daily Call,Lead,South+Dakota,17-Dec-42,1,U. S. Pledges Retribution For Hitler Murders,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Katherine Vaughan,https://newspapers.ushmm.org/article/43090,https://www.newspapers.com/clip/66732095/,y,n,44.3522055,-103.76521,"[5,6]",,b
42657,News Article,Beatrice Daily Sun,Beatrice,Nebraska,17-Dec-42,2,U. S. Condemns Jew Slaying,Join Other United Nations In Protest Against German Action In Europe.,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,https://newspapers.ushmm.org/article/42657,https://www.newspapers.com/clip/65840132/,n,n,40.2659259,-96.746701,[0],,
41859,News Article,Des Moines Tribune,Des+Moines,Iowa,17-Dec-42,3,Warns Nazis They Will Pay For Slaughter,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Masumo Mwenyi,https://newspapers.ushmm.org/article/41859,https://newspapers.ushmm.org/manager/article/photo/28094/original,y,n,41.5868343,-93.624969,[0],,
41823,News Article,The Owensboro Messenger-Inquirer/The Owensboro Messenger,Owensboro,Kentucky,17-Dec-42,3,Condemns Nazis' Anti-Jewish Policy,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,https://newspapers.ushmm.org/article/41823,https://www.newspapers.com/clip/63876154/,y,y,37.7719064,-87.111178,[6],,
41745,News Article,The Suffolk News-Herald,Suffolk,Virginia,17-Dec-42,1,U.S. Condemns Nazi Policies,United Nations Pledge Revenge,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Virginia Chronicle: Library of Virginia (https://virginiachronicle.com/),Published,Meredith Sweeney,https://newspapers.ushmm.org/article/41745,https://newspapers.ushmm.org/manager/article/photo/28007/original,y,n,36.7282044,-76.583572,[0],,b
40461,News Article,Rock Island Argus,Rock+Island,Illinois,17-Dec-42,10,U.S. PROTEST NAZIS' CRUELTY,Promises Punishment of Those Who Persecute Jewish Race.,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,https://newspapers.ushmm.org/article/40461,https://www.newspapers.com/clip/61776502/,y,n,41.5094761,-90.578758,[6],,
40254,News Article,The Park City Daily News,Bowling+Green,Kentucky,17-Dec-42,1,U.S. Condemns Germany Policy,Extermination of Jews to Bring Retribution For Nazis,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Jeannette Gabriel,https://newspapers.ushmm.org/article/40254,https://www.newspapers.com/clip/61744789/,y,y,36.9685209,-86.480814,[6],,b
39761,News Article,The Santa Fe New Mexican,Santa+Fe,New+Mexico,17-Dec-42,2,Vengeance Promised Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Deborah Hirshfield,https://newspapers.ushmm.org/article/39761,https://www.newspapers.com/clip/61517756/121742/,n,n,35.6869742,-105.93781,"[5,6]",,
39180,News Article,The Decatur Daily,Decatur,Alabama,17-Dec-42,2,Persecution of Jews Condemned,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Amy Priborsky,https://newspapers.ushmm.org/article/39180,https://www.newspapers.com/clip/61281783/,n,n,34.6059243,-86.983352,"[3,4,5,6]",,
38984,News Article,Daily Sentinel,Grand+Junction,Colorado,17-Dec-42,1,Hoover Advocates Post War 'Cooling Off' Peace Plan; U. S. Joins Other Nations Condemning Extermination of Jews,Bestial Policy Against Jews Decried; Retribution Is Pledged,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,https://newspapers.ushmm.org/article/38984,https://www.newspapers.com/clip/61064179/,n,n,39.0638695,-108.55066,[0],,a
38489,News Article,The Evening Star/The Washington Evening Star,Washington,District+Of+Columbia,17-Dec-42,A4,"U.S, Allies Promise Retribution for Nazi Slaughter of Jews",State Department Says 'Those Responsible' Will Be Punished,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Chronicling America: Historic American Newspapers (https://chroniclingamerica.loc.gov/#tab=tab_newspapers),Published,Jamaurey Webster,https://newspapers.ushmm.org/article/38489,https://newspapers.ushmm.org/manager/article/photo/27552/original,y,n,38.9071913,-77.036881,"[4,5,6]",,
37660,News Article,Spokane Daily Chronicle,Spokane,Washington,17-Dec-42,2,Condemn Nazis' Jewish Policy,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Not Approved,Patricia Pawelak-Kort,https://newspapers.ushmm.org/article/37660,https://www.newspapers.com/clip/59111080/,y,y,47.6587792,-117.42606,[6],,
35890,News Article,Fort Worth Star-Telegram,Fort+Worth,Texas,17-Dec-42,8,U.S. Joins in Denouncing Nazi Bestiality,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Judy Johnstone,https://newspapers.ushmm.org/article/35890,https://www.newspapers.com/clip/54636208/,y,n,32.7554873,-97.330776,[0],,
33252,News Article,The Birmingham News,Birmingham,Alabama,17-Dec-42,12,U.S. State Department Joins In Condemning Slaughtering Of Jews,"Nazis Shall Not Escape Retribution For 'Bestial Policy,' Allies Pledge",AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Edie Semler,https://newspapers.ushmm.org/article/33252,https://www.newspapers.com/clip/49145992/,n,n,33.5185882,-86.810367,[0],,
33139,News Article,The Casper Tribune-Herald/The Casper Star Tribune,Casper,Wyoming,17-Dec-42,1,United States Condemns Nazi Treatment of Jews,Joins Other Nations in Denouncing Policy of Extermination,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Eric Schmalz,https://newspapers.ushmm.org/article/33139,https://www.newspapers.com/clip/48611058/,y,n,42.848708,-106.29809,[0],,b
33072,News Article,Iowa City Press-Citizen,Iowa+City,Iowa,17-Dec-42,1,"Allies Pledge Nazis ""Shall Not Escape Retribution"" for ""Bestial Policy"" In Europe",,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Elizabeth Hedlund,https://newspapers.ushmm.org/article/33072,https://www.newspapers.com/clip/48252872/,y,y,41.6611267,-91.530178,[0],,b
30662,News Article,Reading Eagle,Reading,Pennsylvania,17-Dec-42,16,U.S. Raps Nazi Acts,Joins Other Nations in Condemning Action Against Jews,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Reading Public Library,Published,Jennifer Goss,https://newspapers.ushmm.org/article/30662,https://newspapers.ushmm.org/manager/article/photo/24670/original,y,n,40.3356473,-75.926885,[0],,
30483,News Article,Plainfield Courier-News,Plainfield,New+Jersey,17-Dec-42,25,U.S. Condemns Nazi Brutality,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,New York Public Library,Published,Sandra Auerbach,https://newspapers.ushmm.org/article/30483,https://newspapers.ushmm.org/manager/article/photo/24527/original,y,n,40.6337126,-74.407384,"[3,6]",,
30482,News Article,The Daily Home News/The Central New Jersey Home News,New+Brunswick,New+Jersey,17-Dec-42,14,U.S. Denounces Nazi Persecution,Policy of Exterminating Jews Scored by Many Other Governments,AP,Allies Denounce Nazi Plan to Exterminate the Jews,New York Public Library,Published,Sandra Auerbach,https://newspapers.ushmm.org/article/30482,https://newspapers.ushmm.org/manager/article/photo/24526/original,y,n,40.4862147,-74.451829,[98],,
30481,News Article,The Binghamton Press,Binghamton,New+York,17-Dec-42,20,"U.S., All Allies Condemn Nazi Killing of Jews","Bestial Policy, [sic] Is Assailed, 'Retribution' Pledged for Hitlerites",AP,Allies Denounce Nazi Plan to Exterminate the Jews,New York Public Library,Published,Sandra Auerbach,https://newspapers.ushmm.org/article/30481,https://newspapers.ushmm.org/manager/article/photo/24525/original,y,n,42.0986857,-75.917984,[6],includes,
30479,News Article,The Asbury Park Press/The Evening Press/Asbury Park Evening Press,Asbury+Park,New+Jersey,17-Dec-42,19,U.S. Denounces Nazi Pogrom,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,New York Public Library,Published,Sandra Auerbach,https://newspapers.ushmm.org/article/30479,https://newspapers.ushmm.org/manager/article/photo/24523/original,y,n,40.2203897,-74.012092,[0],,
29947,News Article,The Muscatine Journal and News-Tribune,Muscatine,Iowa,17-Dec-42,6,Nazi Treatment of Jews Scored by This Nation,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,https://musserpubliclibrary.org/,Published,Maggie Hoffman,https://newspapers.ushmm.org/article/29947,https://newspapers.ushmm.org/manager/article/photo/24002/original,y,n,41.424472,-91.043215,[0],,
29533,News Article,The Cedar Rapids Gazette,Cedar+Rapids,Iowa,17-Dec-42,29,Allies Flay Nazi Policy On Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,https://crpubliclibrary.newspaperarchive.com/,Published,Amy Priborsky,https://newspapers.ushmm.org/article/29533,https://newspapers.ushmm.org/manager/article/photo/23597/original,y,y,41.9778785,-91.665633,[6],,
28505,News Article,The Robesonian,Lumberton,North+Carolina,17-Dec-42,1,American Condemns Nazi Efforts To Exterminate Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Not Approved,Jacob Brawley,https://newspapers.ushmm.org/article/28505,https://newspapers.ushmm.org/manager/article/photo/22626/original,y,n,34.6182189,-79.008652,"[4,5,6]",,u
26005,News Article,The Daily Mail,Hagerstown,Maryland,17-Dec-42,20,U.S. Joins in Condemning Slaughter,Germany's Bestial Policy Of Cold-blooded Killings To Bring Retribution,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Ryan Bellafiore,https://newspapers.ushmm.org/article/26005,https://www.newspapers.com/clip/31780304/,n,n,39.6417619,-77.720003,[6],,
24982,News Article,The Seattle Daily Times/The Seattle Times,Seattle,Washington,17-Dec-42,14,Nazi Cruelties to Jews Scored,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newsbank (http://infoweb.newsbank.com/),Not Approved,Ila Jones,https://newspapers.ushmm.org/article/24982,https://newspapers.ushmm.org/manager/article/photo/19642/original,y,n,47.6062085,-122.33208,"[4,5,6]",includes,
24940,News Article,The Daily Inter Lake,Kalispell,Montana,17-Dec-42,1,Nazi Slaughter of Jews Condemned by The United Nations,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Find Newspaper Archive (https://newspaperarchive.com/),Published,Julie Morgan,https://newspapers.ushmm.org/article/24940,https://www.newspapers.com/clip/30721381/,y,n,48.1919879,-114.31682,[0],,b
23753,News Article,The Staunton News-Leader,Staunton,Virginia,17-Dec-42,1,Condemn German Policy Of Exterminating Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Jennifer Goss,https://newspapers.ushmm.org/article/23753,https://www.newspapers.com/image/315070349,y,y,38.149575,-79.071706,[0],,a
23246,News Article,The Laramie Republican and Boomerang,Laramie,Wyoming,17-Dec-42,1,U.S. JOINS IN CONDEMNING NAZI 'BESTIAL EXTERMINATION' OF JEWS,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Albany County Public Library,Published,Clive Rieke,https://newspapers.ushmm.org/article/23246,https://newspapers.ushmm.org/manager/article/photo/18440/original,y,n,41.3113659,-105.59111,[0],,u
23181,News Article,The Kansas City Star,Kansas+City,Missouri,17-Dec-42,1,To Avenge Jews,"United Nations Condemn German Policy of ""Cold-Blooded"" Slaughter",AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newsbank (http://infoweb.newsbank.com/),Published,Susan T Hessel,https://newspapers.ushmm.org/article/23181,https://newspapers.ushmm.org/manager/article/photo/18397/original,n,n,39.0997255,-94.578577,"[2,3,4,5]",,a
22969,News Article,Wausau Daily Record-Herald,Wausau,Wisconsin,17-Dec-42,1,U.S. Condemns Hitler's 'Bestial' Extermination Plan,United Nations Pledge Retribution for Those Responsible,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Wisconsin Historical Society,Published,Arthur Waldman,https://newspapers.ushmm.org/article/22969,https://newspapers.ushmm.org/manager/article/photo/18231/original,y,n,44.9591342,-89.630132,[6],,b
22794,News Article,Twin Falls Times-News/The Times-News/Times News (1942 to 1946),Twin+Falls,Idaho,17-Dec-42,7,11 United Nations Condemn German Policy Against Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,http://newspaper.twinfallspubliclibrary.org/,Published,Joyce Rangen,https://newspapers.ushmm.org/article/22794,https://newspapers.ushmm.org/manager/article/photo/18089/original,y,y,42.5558371,-114.47006,[98],,
22455,News Article,Sarasota Herald-Tribune,Sarasota,Florida,17-Dec-42,7,U.S. Condemns Slaughter of Jewish Folk,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Google Newspaper Archive (https://news.google.com/newspapers),Not Approved,Anne Palmer,https://newspapers.ushmm.org/article/22455,https://newspapers.ushmm.org/manager/article/photo/17780/original,n,n,27.336464,-82.531022,[6],,
21292,News Article,Reno Evening Gazette (aka Gazette Journal),Reno,Nevada,17-Dec-42,1,Jewish Policy Again Assailed,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Steven Braverman,https://newspapers.ushmm.org/article/21292,https://www.newspapers.com/clip/25124812/,n,y,39.529918,-119.81428,[98],,b
20738,News Article,Moline Daily Dispatch,Moline,Illinois,17-Dec-42,27,Retribution for Extermination of jews Is Promised,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,http://molinepublic.advantage-preservation.com/,Published,tyler engesser,https://newspapers.ushmm.org/article/20738,https://newspapers.ushmm.org/manager/article/photo/16540/original,n,n,41.5066993,-90.515144,[6],,
20466,News Article,The Palladium-Item and Sun-Telegram,Richmond,Indiana,17-Dec-42,11,America Joins Pledge to Punish Jews' Oppressors,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Stasia Tanzer,https://newspapers.ushmm.org/article/20466,https://www.newspapers.com/clip/24646147/,n,n,39.8289359,-84.890248,"[5,6]",,
20456,News Article,The Evening Republican/The Republic,Columbus,Indiana,17-Dec-42,9,U.S. Condemns Nazi Brutality,Promises Retribution for Cold-Blooded Extermination of Jews,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Stasia Tanzer,https://newspapers.ushmm.org/article/20456,https://www.newspapers.com/clip/24645954/,y,n,39.2014394,-85.92139,[0],,
19913,News Article,The La Crosse Tribune and Leader Press/The La Crosse Tribune (Sunday edition),La+Crosse,Wisconsin,17-Dec-42,16,U.S. Joins In Condemnation of Nazi Policy of Exterminating Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Find Newspaper Archive (https://newspaperarchive.com/),Published,Susan T Hessel,https://newspapers.ushmm.org/article/19913,https://newspapers.ushmm.org/manager/article/photo/15973/original,y,y,43.8137741,-91.251912,[6],,
18987,News Article,The Charleston Daily Mail,Charleston,West+Virginia,17-Dec-42,1,Nations Lash Persecution,Slaughter of Jews By Nazis 'Bestial',AP,Allies Denounce Nazi Plan to Exterminate the Jews,Find Newspaper Archive (https://newspaperarchive.com/),Published,Susan T Hessel,https://newspapers.ushmm.org/article/18987,https://newspapers.ushmm.org/manager/article/photo/15270/original,n,n,38.3498185,-81.632633,[98],,a
18709,News Article,The Deseret News,Salt+Lake+City,Utah,17-Dec-42,1,U.S. Pledges Support To Avenge Jews,"Persecutors To Be Punished, Says Allies",AP,Allies Denounce Nazi Plan to Exterminate the Jews,Google Newspaper Archive (https://news.google.com/newspapers),Published,Judy Johnstone,https://newspapers.ushmm.org/article/18709,https://newspapers.ushmm.org/manager/article/photo/15089/original,n,n,40.7607783,-111.89106,[98],,u
18370,News Article,Argus Leader/The Daily Argus-Leader,Sioux+Falls,South+Dakota,17-Dec-42,1,U. S. Scores Jewish Purge,Joins Other United Nations Governments in Condemning Nazis,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Carlos Gimeno,https://newspapers.ushmm.org/article/18370,https://www.newspapers.com/clip/21705494/,n,n,43.5460213,-96.731275,[0],,a
17548,News Article,Marshalltown Times-Republican,Marshalltown,Iowa,17-Dec-42,15,Nazi Blood Policy Scored By 11 Nations,U.S. Joins in Condemning Germany's Extermination of Jews,AP,Allies Denounce Nazi Plan to Exterminate the Jews,http://marshalltown.advantage-preservation.com/,Published,Jonathan Bundy,https://newspapers.ushmm.org/article/17548,https://newspapers.ushmm.org/manager/article/photo/14327/original,y,y,42.0494664,-92.908047,[98],,
16348,News Article,The Chillicothe Constitution-Tribune,Chillicothe,Missouri,17-Dec-42,24,Germany‚Äö√Ñ√¥s Jewish Policy Condemned,United States Pledges Those Responsible ‚Äö√Ñ√∫Shall Not Escape Retribution.‚Äö√Ñ√π,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Michael Guerra-York,https://newspapers.ushmm.org/article/16348,https://www.newspapers.com/clip/19669249/,y,y,39.7952936,-93.552446,"[4,5,6]",,
16052,News Article,Moberly Monitor-Index and Moberly Evening Democrat,Moberly,Missouri,17-Dec-42,1,Cold-Blooded Extermination of Jews Condemned,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,August Sonnenberg,https://newspapers.ushmm.org/article/16052,https://www.newspapers.com/clip/14144430/,n,n,39.4183679,-92.438247,"[4,5,6]",,b
15668,News Article,The Iola Register/The Iola Daily Register,Iola,Kansas,17-Dec-42,1,Allies Condemn Jew Slaughter,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Jake Loman,https://newspapers.ushmm.org/article/15668,https://www.newspapers.com/clip/18889853/,n,n,37.9244789,-95.399991,"[5,6]",,a
13263,News Article,Nashua Telegraph,Nashua,New+Hampshire,17-Dec-42,11,Pledges Retribution For Jewish Extermination,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,http://nashua.advantage-preservation.com/,Published,Rhys Schueren,https://newspapers.ushmm.org/article/13263,https://newspapers.ushmm.org/manager/article/photo/10589/original,n,n,42.7653652,-71.467576,[6],,
